date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
01/11/2024,Alabama A&M,Alcorn,home,L,0,71,74,25,54,9,24,12,16,11,18,29,9,15,4,6,19,1,0,27,62,6,13,14,21,20,18,38,14,13,11,1,14,0,0
01/13/2024,Alabama A&M,Jackson St.,home,L,0,67,75,19,47,4,12,25,33,10,24,34,7,15,2,5,25,0,1,22,59,8,22,23,32,17,22,39,9,11,6,3,24,1,1
01/15/2024,Alabama A&M,Alabama St.,neutral,L,0,55,72,18,45,3,14,16,27,13,26,39,5,21,5,10,19,0,0,23,60,9,19,17,21,13,20,33,11,8,11,5,21,1,0
01/27/2024,Alabama A&M,Texas Southern,away,L,0,69,85,18,52,5,16,28,36,9,19,28,8,13,6,1,29,2,0,22,53,9,19,32,42,16,28,44,13,17,9,3,24,0,0
01/29/2024,Alabama A&M,Prairie View,away,L,0,76,87,28,60,6,16,14,26,8,22,30,15,20,13,4,26,1,0,28,56,2,6,29,38,9,28,37,10,16,11,3,19,1,0
02/03/2024,Alabama A&M,Florida A&M,home,W,0,73,61,21,48,5,16,26,34,6,27,33,11,13,13,3,15,1,0,24,60,4,16,9,14,11,27,38,15,16,7,1,20,1,0
02/05/2024,Alabama A&M,Bethune-Cookman,home,W,0,72,68,24,52,4,13,20,27,13,27,40,11,17,4,2,16,0,0,22,53,7,22,17,21,5,19,24,10,12,12,5,19,0,0
02/10/2024,Alabama A&M,Southern U.,away,L,0,62,69,21,52,4,13,16,24,9,23,32,7,21,4,4,27,1,0,18,54,5,18,28,37,13,21,34,12,14,11,7,23,2,0
02/12/2024,Alabama A&M,Grambling,away,W,0,60,50,19,56,0,9,22,30,20,36,56,4,19,8,4,19,1,0,16,55,2,16,16,27,11,21,32,4,13,11,6,19,1,0
02/17/2024,Alabama A&M,Mississippi Val.,home,W,0,80,57,25,51,5,14,25,29,10,24,34,12,11,8,6,21,1,0,17,52,5,16,18,22,13,17,30,5,18,7,1,22,0,0
02/19/2024,Alabama A&M,Ark.-Pine Bluff,home,W,0,75,67,27,69,3,16,18,28,15,33,48,14,10,8,5,17,0,0,21,66,9,34,16,19,11,35,46,12,14,4,2,22,1,0
02/24/2024,Alabama A&M,Bethune-Cookman,away,L,0,61,63,21,42,4,9,15,23,6,25,31,19,19,6,4,22,0,0,19,54,4,15,21,25,11,20,31,10,11,12,2,18,0,0
02/26/2024,Alabama A&M,Florida A&M,away,L,0,58,76,21,47,2,13,14,21,9,20,29,6,23,9,3,16,0,0,28,55,7,12,13,16,8,21,29,13,20,15,4,16,0,0
03/02/2024,Alabama A&M,Alabama St.,home,W,0,58,53,19,51,3,14,17,24,14,30,44,8,15,7,9,14,0,1,16,60,10,27,11,14,13,21,34,12,12,9,6,18,0,0
03/07/2024,Alabama A&M,Grambling,home,L,0,73,74,26,58,3,13,18,23,14,18,32,12,15,10,0,24,1,2,22,45,2,6,28,33,8,22,30,6,18,11,2,23,1,1
03/09/2024,Alabama A&M,Southern U.,home,W,0,66,56,21,45,5,13,19,28,8,19,27,12,13,10,3,18,0,0,16,43,7,24,17,23,12,19,31,11,23,5,4,22,0,0
03/13/2024,Alabama A&M,Alcorn,neutral,W,0,75,63,23,56,7,22,22,26,12,29,41,15,13,5,3,22,0,0,20,54,5,17,18,25,10,24,34,11,14,8,1,21,0,0
11/06/2023,Alabama St.,Ole Miss,away,L,0,59,69,17,62,9,25,16,21,13,33,46,9,11,6,3,20,0,0,25,68,7,29,12,25,17,35,52,14,8,6,8,15,0,0
