Didn't find Card
date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
02/15/2025,American,Loyola Maryland,home,W,0,72,51,27,52,13,23,5,7,8,23,31,18,13,6,0,18,1,0,18,48,3,20,12,20,9,18,27,11,12,7,1,9,0,0
02/19/2025,American,Army West Point,away,L,0,69,76,26,61,9,26,8,13,9,19,28,17,7,7,1,19,0,0,25,52,8,17,18,20,8,28,36,14,8,5,6,18,0,0
02/22/2025,American,Boston U.,home,W,0,48,44,18,56,2,21,10,12,10,23,33,6,9,12,3,10,0,0,17,49,8,21,2,4,9,28,37,10,19,2,3,14,0,0
02/26/2025,American,Navy,home,L,0,60,68,21,56,7,31,11,17,9,19,28,10,9,6,0,25,2,0,21,45,6,13,20,30,10,30,40,13,14,6,4,16,0,0
03/01/2025,American,Colgate,away,W,0,67,59,25,51,12,26,5,8,4,24,28,16,13,8,1,12,0,0,23,51,8,26,5,8,5,22,27,17,14,6,2,13,1,0
03/06/2025,American,Lafayette,home,W,0,71,69,25,54,10,23,11,16,6,21,27,13,11,10,1,10,0,0,27,53,11,26,4,5,4,24,28,19,14,5,5,14,0,0
03/09/2025,American,Colgate,home,W,0,72,62,27,54,7,17,11,13,7,25,32,11,11,8,1,9,0,0,25,57,7,23,5,7,9,20,29,9,13,9,2,14,0,0
03/12/2025,American,Navy,home,W,0,74,52,27,52,11,25,9,13,4,27,31,15,9,8,3,13,1,1,20,57,4,20,8,10,11,22,33,9,12,4,4,14,0,0
11/04/2024,App State,Miami (OH),home,L,0,63,77,21,53,9,32,12,21,10,24,34,11,19,8,5,16,1,0,27,59,11,25,12,13,8,27,35,9,14,13,4,18,0,0
11/06/2024,App State,St. Andrews,home,W,0,108,54,39,69,10,25,20,31,14,43,57,23,6,7,13,13,0,0,20,70,4,25,10,15,10,21,31,6,9,5,6,18,0,0
11/10/2024,App State,Wisconsin,away,L,0,56,87,21,56,7,24,7,13,11,25,36,11,18,2,2,19,0,0,33,70,8,28,13,16,14,29,43,17,6,14,1,18,0,0
11/19/2024,App State,Queens (NC),home,W,0,65,53,22,47,5,14,16,30,11,32,43,8,14,10,5,17,2,0,21,66,6,37,5,13,18,21,39,12,12,9,7,24,0,0
11/24/2024,App State,William & Mary,home,W,0,79,76,26,56,15,29,12,24,12,25,37,17,10,7,2,14,0,0,29,63,9,31,9,10,9,25,34,17,9,4,3,20,0,0
11/27/2024,App State,Sam Houston,neutral,W,0,66,63,21,53,7,24,17,22,10,27,37,11,12,4,3,15,0,0,25,64,3,14,10,14,14,24,38,9,9,7,3,20,0,1
11/29/2024,App State,Colgate,neutral,W,0,72,50,30,56,10,26,2,5,8,27,35,18,9,5,2,10,0,0,20,53,8,27,2,5,7,20,27,13,10,4,0,13,0,0
11/30/2024,App State,UNCW,away,L,0,61,76,21,53,2,17,17,21,11,24,35,6,9,0,5,18,0,0,25,61,8,26,18,22,15,25,40,13,4,5,3,18,0,0
12/03/2024,App State,Mid-Atlantic Christ.,home,W,0,85,43,33,62,12,30,7,14,12,41,53,22,15,5,10,12,0,0,17,68,5,13,4,9,13,23,36,4,11,12,3,17,0,0
12/14/2024,App State,High Point,neutral,L,0,59,65,20,57,5,14,14,18,12,30,42,9,17,7,3,14,0,0,22,61,6,29,15,18,11,28,39,10,13,13,4,21,1,0
12/18/2024,App State,Louisiana,away,L,0,62,68,20,48,4,18,18,29,7,24,31,8,11,9,2,18,0,0,23,55,9,24,13,17,9,27,36,12,12,4,3,21,1,0
12/20/2024,App State,North Texas,away,L,0,64,68,22,42,7,19,13,16,5,14,19,10,12,7,0,17,0,0,24,48,5,20,15,19,13,17,30,11,12,8,3,14,1,0
01/02/2025,App State,Troy,home,L,0,61,69,21,56,8,26,11,16,10,22,32,14,9,10,2,10,0,0,25,57,12,35,7,10,11,27,38,18,12,7,5,16,0,0
01/04/2025,App State,Texas St.,home,W,0,72,61,27,51,12,22,6,9,5,30,35,15,12,5,3,10,0,0,23,61,8,22,7,7,8,21,29,11,8,7,1,12,0,0
01/08/2025,App State,Coastal Carolina,home,W,0,74,51,25,56,10,23,14,20,14,26,40,18,6,7,3,14,0,0,18,52,6,23,9,12,11,22,33,6,11,4,1,13,0,0
01/11/2025,App State,James Madison,home,W,0,86,66,28,52,10,17,20,28,6,31,37,14,12,9,3,15,0,1,23,66,6,24,14,18,15,23,38,8,13,6,3,20,0,1
01/16/2025,App State,Old Dominion,away,W,0,62,43,23,54,6,22,10,15,10,27,37,14,6,8,3,12,0,0,15,49,4,19,9,13,10,25,35,4,11,4,3,14,0,0
01/18/2025,App State,James Madison,away,W,0,58,50,20,48,10,20,8,13,4,27,31,14,11,5,1,10,0,0,18,51,9,29,5,6,6,28,34,11,13,7,4,12,0,0
01/23/2025,App State,Arkansas St.,away,L,0,55,65,22,59,2,27,9,14,10,29,39,11,9,4,5,12,0,0,24,66,6,26,11,14,13,30,43,11,6,9,4,15,0,0
01/25/2025,App State,ULM,away,W,0,66,58,20,50,9,22,17,24,11,31,42,10,14,1,3,13,0,0,20,64,3,19,15,18,11,23,34,11,4,8,3,18,0,0
01/29/2025,App State,Old Dominion,home,L,0,77,78,27,59,10,27,13,17,9,21,30,15,9,5,3,14,0,0,28,57,9,21,13,19,10,25,35,12,10,6,2,19,2,0
02/01/2025,App State,Georgia St.,home,W,0,80,76,29,57,8,18,14,21,8,28,36,16,9,5,3,10,0,0,31,66,9,20,5,11,9,25,34,15,8,7,4,19,0,0
02/05/2025,App State,Southern Miss.,home,W,0,60,58,23,52,5,22,9,19,6,33,39,13,12,5,4,12,0,0,23,63,2,17,10,14,9,30,39,12,5,8,4,13,0,0
02/08/2025,App State,Ohio,away,W,0,72,59,25,52,8,19,14,20,7,24,31,11,9,3,4,11,0,0,24,57,4,23,7,9,8,23,31,9,9,3,0,15,1,0
02/13/2025,App State,Coastal Carolina,away,W,0,64,46,19,49,6,17,20,26,10,30,40,7,5,6,5,10,0,0,16,53,6,15,8,13,10,21,31,10,10,0,1,19,1,0
02/15/2025,App State,Georgia St.,away,L,0,65,70,26,59,9,25,4,6,6,24,30,14,7,6,2,13,0,0,26,58,6,14,12,18,10,28,38,13,8,5,4,8,0,0
02/20/2025,App State,Ga. Southern,home,W,1,79,74,27,64,6,25,19,31,13,30,43,13,11,4,4,14,0,0,27,71,10,32,10,11,15,31,46,16,11,5,3,25,1,0
02/22/2025,App State,Marshall,home,L,0,59,69,22,60,5,24,10,16,12,24,36,12,8,5,2,14,0,0,27,56,6,20,9,10,5,29,34,12,8,5,6,12,0,0
02/25/2025,App State,Ga. Southern,away,L,0,59,61,22,60,7,25,8,16,16,25,41,9,11,3,4,15,1,0,22,51,10,23,7,14,8,26,34,15,11,7,5,17,0,0
02/28/2025,App State,Marshall,away,L,0,57,75,18,50,9,21,12,21,13,23,36,8,15,3,5,11,1,0,30,71,10,25,5,8,18,25,43,18,7,8,9,19,0,0
03/07/2025,App State,Old Dominion,neutral,L,0,56,61,18,52,7,23,13,17,11,20,31,7,8,6,3,11,0,0,22,55,7,23,10,11,13,25,38,9,9,3,7,14,0,0
11/07/2024,Alabama A&M,Oakwood,home,W,0,121,78,46,84,12,33,17,26,17,41,58,25,18,12,9,34,1,1,23,68,9,25,23,43,14,25,39,13,24,10,1,18,0,0
11/11/2024,Alabama A&M,Ark. Baptist,home,W,0,103,57,38,68,12,23,15,28,21,25,46,23,16,9,5,17,0,0,19,48,1,9,18,24,8,18,26,10,23,7,5,20,0,0
11/13/2024,Alabama A&M,Fisk,home,W,0,103,69,40,80,11,30,12,15,18,29,47,26,14,13,7,18,2,0,22,61,10,26,13,21,14,23,37,16,22,9,3,13,0,0
11/16/2024,Alabama A&M,Tennessee St.,away,L,0,71,81,27,76,3,19,14,24,23,23,46,12,17,10,1,28,0,1,29,59,5,14,18,32,13,32,45,14,20,9,7,21,2,1
11/19/2024,Alabama A&M,Georgia,away,L,0,45,93,16,54,6,21,7,12,9,13,22,8,21,11,4,29,0,0,28,53,9,25,28,41,17,30,47,18,16,16,7,15,0,0
11/22/2024,Alabama A&M,South Carolina St.,home,L,0,70,82,23,59,7,27,17,26,14,20,34,12,13,8,5,15,0,0,30,56,11,21,11,13,8,26,34,19,15,6,3,20,0,0
