date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
12/02/2022,Alabama St.,Abilene Christian,away,L,0,67,78,60,6,19,7,13,67,24,32,20,11,6,3,18,1,1,0,60,13,28,9,13,78,26,35,16,12,5,6,14,1,1,0
12/07/2022,Alabama St.,Samford,home,W,0,66,61,57,6,18,8,15,66,23,32,14,14,8,2,16,1,0,0,56,5,18,4,9,61,25,35,14,22,10,6,17,1,0,0
12/11/2022,Alabama St.,Texas,away,L,0,54,107,50,3,10,13,16,54,13,22,9,30,10,4,22,1,1,0,76,4,15,21,30,107,23,50,18,17,13,5,14,1,0,1
12/14/2022,Alabama St.,Jacksonville St.,away,L,0,60,71,51,5,20,17,20,60,23,32,7,16,5,2,13,1,0,0,60,13,33,12,18,71,25,40,12,12,6,1,15,1,0,0
12/17/2022,Alabama St.,South Alabama,away,W,0,58,56,57,5,15,15,25,58,26,38,10,15,6,3,16,1,0,0,53,5,15,9,12,56,31,39,11,17,7,4,21,1,0,0
12/19/2022,Alabama St.,Mobile,home,W,0,82,71,68,8,21,8,14,82,29,46,22,21,7,5,14,1,0,0,59,5,16,16,20,71,23,29,8,15,13,1,15,1,0,0
01/02/2023,Alabama St.,Mississippi Val.,home,W,0,76,65,59,6,15,12,15,76,20,31,13,15,7,3,13,1,0,0,55,8,20,7,16,65,21,34,9,20,3,1,20,1,1,0
01/04/2023,Alabama St.,Ark.-Pine Bluff,home,W,0,72,63,56,2,8,24,35,72,23,37,10,18,10,5,18,1,1,0,60,2,9,15,24,63,22,42,4,24,9,5,24,1,0,0
01/07/2023,Alabama St.,Jackson St.,away,L,0,48,90,60,3,13,13,19,48,11,27,6,19,6,1,20,1,0,0,53,7,11,17,26,90,26,34,18,14,15,11,20,1,0,0
01/09/2023,Alabama St.,Alcorn,away,W,0,93,91,53,5,11,26,36,93,20,25,17,14,3,5,25,1,1,0,61,5,9,24,32,91,13,20,18,12,5,4,26,1,0,0
01/16/2023,Alabama St.,Alabama A&M,away,L,0,46,60,61,2,13,10,11,46,24,38,8,14,6,4,16,1,0,0,55,4,16,14,16,60,30,40,10,14,7,6,11,1,0,0
01/21/2023,Alabama St.,Prairie View,home,W,1,77,74,55,8,22,17,29,77,26,36,11,16,9,3,20,1,0,0,53,9,23,19,25,74,24,31,11,19,8,1,24,1,0,0
01/23/2023,Alabama St.,Texas Southern,home,W,0,81,73,49,6,19,25,33,81,19,30,15,19,11,3,15,1,0,0,57,8,21,11,13,73,16,27,10,21,8,2,26,1,2,0
01/28/2023,Alabama St.,Bethune-Cookman,away,L,0,66,69,50,7,15,19,25,66,26,37,7,25,11,7,24,1,2,0,63,5,13,18,30,69,22,42,11,15,11,1,20,1,1,0
01/30/2023,Alabama St.,Florida A&M,away,W,0,77,68,58,7,20,20,23,77,22,37,16,19,7,3,13,1,0,0,66,5,19,7,11,68,18,35,10,17,10,6,20,1,0,0
02/04/2023,Alabama St.,Grambling,home,L,0,51,52,51,2,14,11,15,51,29,43,8,24,5,10,19,1,0,0,59,5,19,15,20,52,21,38,5,15,10,2,20,1,1,0
02/06/2023,Alabama St.,Southern U.,home,W,0,48,43,45,4,13,18,26,48,28,42,7,24,11,4,19,1,0,0,47,4,13,11,26,43,24,38,7,24,13,7,24,1,0,0
02/11/2023,Alabama St.,Ark.-Pine Bluff,away,W,0,71,60,59,6,13,25,35,71,20,33,6,17,9,2,23,1,1,0,59,3,16,15,26,60,25,44,15,19,9,5,27,1,0,0
02/13/2023,Alabama St.,Mississippi Val.,away,W,0,66,61,48,4,12,16,22,66,35,40,16,14,6,1,14,1,0,0,61,9,26,10,16,61,23,32,15,10,6,6,19,1,0,0
02/18/2023,Alabama St.,Florida A&M,home,W,0,65,54,46,3,14,18,21,65,30,39,14,20,7,6,14,1,0,0,71,4,19,8,15,54,15,38,10,14,10,3,20,1,0,0
02/20/2023,Alabama St.,Bethune-Cookman,home,W,3,74,71,70,3,21,19,27,74,30,49,15,29,12,7,21,1,1,0,72,3,8,14,18,71,27,41,5,31,14,4,30,1,3,0
02/25/2023,Alabama St.,Alabama A&M,home,W,0,69,57,56,5,17,12,19,69,24,35,11,10,4,2,23,1,1,0,52,4,12,13,26,57,23,37,7,14,3,3,16,1,0,0
03/02/2023,Alabama St.,Southern U.,away,L,0,63,75,57,3,15,10,14,63,25,34,12,17,3,1,18,1,0,0,55,1,6,14,24,75,22,28,13,9,7,1,16,1,0,0
03/04/2023,Alabama St.,Grambling,away,L,0,60,62,40,5,9,15,22,60,20,25,9,18,8,1,16,1,0,0,45,2,8,16,20,62,15,17,3,14,7,1,17,1,0,0
03/09/2023,Alabama St.,Bethune-Cookman,neutral,W,0,70,61,55,3,15,21,24,70,25,40,17,15,5,3,17,1,1,0,61,2,11,13,21,61,16,33,8,12,8,3,19,1,0,0
03/10/2023,Alabama St.,Ark.-Pine Bluff,neutral,L,0,66,71,54,5,16,19,21,66,16,25,13,18,12,5,18,1,0,0,46,6,10,21,25,71,22,31,17,20,6,7,19,1,0,0
11/07/2022,Alcorn,Tulsa,away,L,0,33,82,56,0,16,15,22,33,24,32,3,11,2,3,20,1,1,0,63,13,38,15,19,82,41,53,22,11,5,4,24,1,1,0
11/09/2022,Alcorn,Wichita St.,away,L,0,53,67,70,2,15,13,26,53,21,42,13,15,10,2,25,1,0,0,53,5,17,20,29,67,33,45,14,20,7,4,18,1,0,0
11/13/2022,Alcorn,Illinois,away,L,0,59,90,57,6,15,11,15,59,23,30,7,18,4,5,22,1,0,0,62,12,23,22,28,90,31,43,16,12,8,3,17,1,1,0
11/16/2022,Alcorn,Ark. Baptist,home,W,0,100,51,68,12,25,14,26,100,26,44,20,20,15,3,22,1,0,1,53,0,9,11,26,51,21,34,9,30,10,1,23,1,0,1
11/22/2022,Alcorn,New Orleans,home,W,0,65,56,59,2,16,17,27,65,25,39,17,22,12,8,20,1,0,1,49,5,18,13,28,56,24,40,13,27,16,2,24,1,0,0
12/03/2022,Alcorn,Louisiana Tech,away,L,0,59,70,59,3,13,12,22,59,13,24,18,21,15,1,27,1,0,1,46,4,14,30,35,70,24,38,13,24,9,3,18,1,0,0
12/06/2022,Alcorn,Central Ark.,home,W,0,45,41,41,6,18,9,24,45,25,30,11,16,3,1,23,1,1,1,42,1,10,8,22,41,25,29,7,18,5,1,25,1,0,1
12/13/2022,Alcorn,Tougaloo,home,W,0,88,48,76,7,25,15,23,88,31,46,24,12,20,8,15,1,0,1,72,4,34,12,17,48,26,41,11,23,9,3,18,1,0,0
12/16/2022,Alcorn,Colorado,away,L,0,47,82,54,9,30,4,8,47,19,28,11,23,8,5,13,1,0,0,67,11,29,13,20,82,26,49,21,15,13,1,12,1,0,0
12/19/2022,Alcorn,ULM,away,L,0,65,69,64,4,18,17,20,65,27,42,12,18,9,4,24,1,1,0,55,5,11,18,28,69,28,36,17,18,8,7,18,1,0,0
12/21/2022,Alcorn,UAB,away,L,0,56,70,60,5,20,13,19,56,26,37,9,14,7,2,25,1,0,0,53,9,28,23,26,70,31,40,9,15,2,3,16,1,0,0
01/02/2023,Alcorn,Jackson St.,home,L,0,49,59,65,7,26,12,28,49,23,37,11,17,9,4,31,1,1,4,47,2,8,27,40,59,32,41,8,22,9,10,26,1,2,3
01/07/2023,Alcorn,Alabama A&M,home,L,0,56,63,53,2,9,14,21,56,24,32,14,17,2,6,22,1,0,0,54,4,16,19,24,63,26,36,8,16,6,4,18,1,0,0
01/09/2023,Alcorn,Alabama St.,home,L,0,91,93,61,5,9,24,32,91,13,20,18,12,5,4,26,1,0,0,53,5,11,26,36,93,20,25,17,14,3,5,25,1,1,0
01/14/2023,Alcorn,Texas Southern,away,W,1,76,67,64,10,22,14,24,76,34,48,17,24,9,2,22,1,0,0,61,6,17,25,35,67,30,42,13,21,14,7,26,1,1,0
01/16/2023,Alcorn,Prairie View,away,L,0,55,56,56,2,15,13,20,55,25,35,11,19,9,5,23,1,0,0,57,6,19,12,23,56,27,41,11,20,9,2,21,1,0,0
01/21/2023,Alcorn,Florida A&M,home,W,0,72,60,55,5,9,17,28,72,20,34,20,22,9,5,15,1,0,0,54,3,15,15,21,60,22,34,11,21,9,4,26,1,2,0
01/23/2023,Alcorn,Bethune-Cookman,home,W,0,58,49,61,1,18,15,21,58,32,43,15,19,4,10,16,1,0,0,65,4,13,9,21,49,24,34,4,12,8,1,21,1,0,1
01/28/2023,Alcorn,Southern U.,away,L,0,62,65,50,6,13,12,19,62,22,32,12,25,5,2,27,1,0,0,51,6,14,23,40,65,18,34,12,19,15,6,22,1,1,0
01/30/2023,Alcorn,Grambling,away,W,0,58,52,59,4,10,12,25,58,29,50,12,17,6,7,20,1,0,0,62,1,15,17,25,52,24,43,3,14,10,0,21,1,1,0
02/04/2023,Alcorn,Ark.-Pine Bluff,home,L,0,61,73,61,7,18,14,20,61,23,38,13,21,8,6,23,1,1,0,63,3,11,14,21,73,27,45,18,17,10,1,20,1,0,0
02/06/2023,Alcorn,Mississippi Val.,home,W,0,74,51,63,8,24,4,9,74,33,43,23,16,5,2,15,1,0,0,61,6,21,9,15,51,17,25,7,11,11,4,8,1,0,0
02/11/2023,Alcorn,Bethune-Cookman,away,L,0,60,68,71,2,16,10,19,60,32,47,13,19,11,5,23,1,1,2,57,1,9,23,34,68,36,45,12,19,11,5,19,1,0,1
02/13/2023,Alcorn,Florida A&M,away,W,0,73,67,62,2,11,11,15,73,26,40,12,22,12,4,20,1,0,0,62,6,22,15,23,67,20,36,16,19,13,3,18,1,1,0
02/18/2023,Alcorn,Jackson St.,away,L,0,49,81,66,6,16,9,15,49,17,31,8,16,7,3,21,1,1,0,53,6,17,23,32,81,32,44,13,12,11,6,14,1,0,1
02/25/2023,Alcorn,Prairie View,home,L,0,88,98,67,5,16,23,35,88,21,33,16,18,9,5,28,1,2,0,61,11,23,25,39,98,23,32,20,18,9,1,25,1,0,0
02/27/2023,Alcorn,Texas Southern,home,W,0,72,66,61,5,15,21,33,72,18,34,8,14,11,5,18,1,0,0,54,6,18,14,17,66,21,30,9,22,8,1,25,1,2,0
03/02/2023,Alcorn,Mississippi Val.,away,W,0,69,58,70,5,19,4,4,69,29,44,17,15,8,2,19,1,0,0,53,2,13,14,23,58,25,34,14,14,10,5,10,1,0,0
